"","scSTMTyoe","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq","Seurat"
"seurat...1","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733584909",10,10,FALSE,TRUE,1,1
"seurat...2","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733584916",10,10,FALSE,TRUE,1,0.986796568861321
"seurat...3","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733584919",10,10,FALSE,TRUE,1,1
"seurat...4","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733584923",10,10,FALSE,TRUE,1,0.979417840023084
"seurat...5","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733584931",10,10,FALSE,TRUE,1,0.960462330805258
"seurat...6","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733584934",10,10,FALSE,TRUE,1,0.968263243077374
"seurat...7","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585192",10,10,FALSE,TRUE,1,0.977014843986803
"seurat...8","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585194",10,10,FALSE,TRUE,1,1
"seurat...9","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585199",10,10,FALSE,TRUE,1,1
"seurat...10","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585203",10,10,FALSE,TRUE,1,0.997109059320126
"seurat...11","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585228",10,10,FALSE,TRUE,1,1
"seurat...12","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585242",10,10,FALSE,TRUE,1,1
"seurat...13","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585305",10,10,FALSE,TRUE,1,0.990883769176847
"seurat...14","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585452",10,10,FALSE,TRUE,1,0.989926670747127
"seurat...15","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585487",10,10,FALSE,TRUE,1,0.951688025702125
"seurat...16","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585505",10,10,FALSE,TRUE,1,0.978374847328824
"seurat...17","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585508",10,10,FALSE,TRUE,1,0.972685757474809
"seurat...18","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585544",10,10,FALSE,TRUE,1,0.989932048153877
"seurat...19","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585562",10,10,FALSE,TRUE,1,1
"seurat...20","scSTM_Pooled_noContent_Prevalence_Time","NullModel","1733585644",10,10,FALSE,TRUE,1,1
