"","modelType","seed","nCellType","nSample","Batch","CancerType","ARI"
"1","HighVar0.3","1732766261",10,20,TRUE,TRUE,0.894551472936435
"2","HighVar0.8","1732766268",10,20,TRUE,TRUE,0.540427279763703
"3","HighVar1.5","1732766268",10,20,TRUE,TRUE,0.571035352432328
"4","HighVar1","1732766268",10,20,TRUE,TRUE,0.518480089402864
"5","NullModel","1732766268",10,20,TRUE,TRUE,0.61810523016537
"6","HighVar0.3","1732766283",10,20,TRUE,TRUE,0.856125397026165
"7","HighVar0.5","1732766283",10,20,TRUE,TRUE,0.800271719226177
"8","HighVar0.8","1732766283",10,20,TRUE,TRUE,0.795250840086379
"9","HighVar1.5","1732766283",10,20,TRUE,TRUE,0.769995791592069
"10","HighVar1","1732766283",10,20,TRUE,TRUE,0.785058681144354
"11","NullModel","1732766283",10,20,TRUE,TRUE,0.823899776386745
"12","HighVar0.3","1732766292",10,20,TRUE,TRUE,0.615008384450981
"13","HighVar0.5","1732766292",10,20,TRUE,TRUE,0.685424721957076
"14","HighVar0.8","1732766292",10,20,TRUE,TRUE,0.629586883575841
"15","HighVar1.5","1732766292",10,20,TRUE,TRUE,0.585152625857615
"16","HighVar1","1732766292",10,20,TRUE,TRUE,0.643914959787849
"17","NullModel","1732766292",10,20,TRUE,TRUE,0.700716306559235
"18","HighVar0.3","1732766297",10,20,TRUE,TRUE,0.822075994120122
"19","HighVar0.5","1732766297",10,20,TRUE,TRUE,0.745409504070022
"20","HighVar0.8","1732766297",10,20,TRUE,TRUE,0.718093017265109
"21","HighVar1.5","1732766297",10,20,TRUE,TRUE,0.804006827670001
"22","HighVar1","1732766297",10,20,TRUE,TRUE,0.842997366851033
"23","NullModel","1732766297",10,20,TRUE,TRUE,0.878385602581656
"24","HighVar0.3","1732766299",10,20,TRUE,TRUE,0.650501622995683
"25","HighVar0.5","1732766299",10,20,TRUE,TRUE,0.688739247670574
"26","HighVar0.8","1732766299",10,20,TRUE,TRUE,0.694009781128953
"27","HighVar1.5","1732766299",10,20,TRUE,TRUE,0.662886935165065
"28","HighVar1","1732766299",10,20,TRUE,TRUE,0.61160064934852
"29","NullModel","1732766299",10,20,TRUE,TRUE,0.823769430790712
"30","HighVar0.3","1732766300",10,20,TRUE,TRUE,0.74955183786605
"31","HighVar0.5","1732766300",10,20,TRUE,TRUE,0.731531223763037
"32","HighVar0.8","1732766300",10,20,TRUE,TRUE,0.761643347895689
"33","HighVar1.5","1732766300",10,20,TRUE,TRUE,0.624932875770665
"34","HighVar1","1732766300",10,20,TRUE,TRUE,0.541209324938174
"35","NullModel","1732766300",10,20,TRUE,TRUE,0.756434464786151
"36","HighVar0.3","1732766304",10,20,TRUE,TRUE,0.819626204703384
"37","HighVar0.5","1732766304",10,20,TRUE,TRUE,0.77117948901655
"38","HighVar0.8","1732766304",10,20,TRUE,TRUE,0.748079565215962
"39","NullModel","1732766304",10,20,TRUE,TRUE,0.836183658407307
"40","HighVar0.3","1732766308",10,20,TRUE,TRUE,0.732286770901232
"41","HighVar0.5","1732766308",10,20,TRUE,TRUE,0.667927374942143
"42","HighVar0.8","1732766308",10,20,TRUE,TRUE,0.684463273343517
"43","HighVar1.5","1732766308",10,20,TRUE,TRUE,0.566656848153153
"44","HighVar1","1732766308",10,20,TRUE,TRUE,0.686468121926625
"45","NullModel","1732766308",10,20,TRUE,TRUE,0.753117400684895
"46","HighVar0.3","1732766309",10,20,TRUE,TRUE,0.644426965013576
"47","HighVar0.5","1732766309",10,20,TRUE,TRUE,0.652275416770163
"48","HighVar0.8","1732766309",10,20,TRUE,TRUE,0.632373494822223
"49","HighVar1.5","1732766309",10,20,TRUE,TRUE,0.64303208648902
"50","HighVar1","1732766309",10,20,TRUE,TRUE,0.646450669789585
"51","NullModel","1732766309",10,20,TRUE,TRUE,0.610443150047639
"52","HighVar0.3","1732766316",10,20,TRUE,TRUE,0.706134904444641
"53","HighVar0.5","1732766316",10,20,TRUE,TRUE,0.677074219165446
"54","HighVar0.8","1732766316",10,20,TRUE,TRUE,0.651127880287831
"55","HighVar1","1732766316",10,20,TRUE,TRUE,0.649917704335009
"56","HighVar0.5","1732766317",10,20,TRUE,TRUE,0.69785313906257
"57","HighVar0.8","1732766317",10,20,TRUE,TRUE,0.724881084535432
"58","HighVar1.5","1732766317",10,20,TRUE,TRUE,0.741100304226794
"59","HighVar1","1732766317",10,20,TRUE,TRUE,0.799447093744539
"60","NullModel","1732766317",10,20,TRUE,TRUE,0.758808867874465
"61","HighVar0.3","1732766319",10,20,TRUE,TRUE,0.800546835829888
"62","HighVar0.5","1732766319",10,20,TRUE,TRUE,0.789062430730786
"63","HighVar0.8","1732766319",10,20,TRUE,TRUE,0.712410026798811
"64","HighVar1.5","1732766319",10,20,TRUE,TRUE,0.606372115836422
"65","HighVar1","1732766319",10,20,TRUE,TRUE,0.747188880904435
"66","NullModel","1732766319",10,20,TRUE,TRUE,0.753030323381008
"67","HighVar0.3","1732766327",10,20,TRUE,TRUE,0.712305326575741
"68","HighVar0.5","1732766327",10,20,TRUE,TRUE,0.734196358002328
"69","HighVar0.8","1732766327",10,20,TRUE,TRUE,0.653892837669434
"70","HighVar1.5","1732766327",10,20,TRUE,TRUE,0.538373879632368
"71","HighVar1","1732766327",10,20,TRUE,TRUE,0.569338445031175
"72","NullModel","1732766327",10,20,TRUE,TRUE,0.7048999240531
"73","HighVar0.5","1732766328",10,20,TRUE,TRUE,0.786258802489867
"74","HighVar0.8","1732766328",10,20,TRUE,TRUE,0.781261433424054
"75","HighVar1.5","1732766328",10,20,TRUE,TRUE,0.759180069952269
"76","HighVar1","1732766328",10,20,TRUE,TRUE,0.736861313876808
"77","NullModel","1732766328",10,20,TRUE,TRUE,0.751401974042851
"78","HighVar0.3","1732766329",10,20,TRUE,TRUE,0.732007774492004
"79","HighVar1.5","1732766329",10,20,TRUE,TRUE,0.49099886162802
"80","HighVar1","1732766329",10,20,TRUE,TRUE,0.556878740390759
"81","NullModel","1732766329",10,20,TRUE,TRUE,0.783908399228138
"82","HighVar0.8","1732766350",10,20,TRUE,TRUE,0.619237070414998
"83","HighVar1","1732766350",10,20,TRUE,TRUE,0.517127176709388
"84","HighVar0.3","1732766355",10,20,TRUE,TRUE,0.833196638300837
"85","HighVar0.5","1732766355",10,20,TRUE,TRUE,0.82705765836732
"86","HighVar0.8","1732766355",10,20,TRUE,TRUE,0.810291341496519
"87","HighVar1.5","1732766355",10,20,TRUE,TRUE,0.782775510474725
"88","HighVar1","1732766355",10,20,TRUE,TRUE,0.819610409121013
"89","NullModel","1732766355",10,20,TRUE,TRUE,0.833423806864713
"90","HighVar0.3","1732766357",10,20,TRUE,TRUE,0.49881795718948
"91","HighVar0.5","1732766357",10,20,TRUE,TRUE,0.588393053426208
"92","HighVar0.8","1732766357",10,20,TRUE,TRUE,0.551721500245242
"93","HighVar1.5","1732766357",10,20,TRUE,TRUE,0.369515550325861
"94","HighVar1","1732766357",10,20,TRUE,TRUE,0.510577718608923
"95","NullModel","1732766357",10,20,TRUE,TRUE,0.575554141903602
"96","HighVar0.3","1732766362",10,20,TRUE,TRUE,0.512247486452948
"97","HighVar0.5","1732766362",10,20,TRUE,TRUE,0.552717967386877
"98","HighVar0.8","1732766362",10,20,TRUE,TRUE,0.536610845192535
"99","HighVar1","1732766362",10,20,TRUE,TRUE,0.543193827597168
"100","NullModel","1732766362",10,20,TRUE,TRUE,0.643618207548902
"101","HighVar0.3","1732766367",10,20,TRUE,TRUE,0.83533207803776
"102","HighVar0.5","1732766367",10,20,TRUE,TRUE,0.834418339422022
"103","HighVar0.8","1732766367",10,20,TRUE,TRUE,0.856333009530874
"104","HighVar1.5","1732766367",10,20,TRUE,TRUE,0.656155222099553
"105","HighVar0.8","1732766372",10,20,TRUE,TRUE,0.767113832696284
"106","HighVar1.5","1732766372",10,20,TRUE,TRUE,0.700311226940203
"107","NullModel","1732766372",10,20,TRUE,TRUE,0.769747890774818
"108","HighVar0.3","1732766375",10,20,TRUE,TRUE,0.830028989378072
"109","HighVar0.5","1732766375",10,20,TRUE,TRUE,0.823126751171278
"110","HighVar0.8","1732766375",10,20,TRUE,TRUE,0.780502660229721
"111","HighVar1.5","1732766375",10,20,TRUE,TRUE,0.6256877953466
"112","HighVar1","1732766375",10,20,TRUE,TRUE,0.757824929097094
"113","HighVar0.3","1732766380",10,20,TRUE,TRUE,0.718957334851856
"114","HighVar0.5","1732766380",10,20,TRUE,TRUE,0.779129018314193
"115","HighVar0.8","1732766380",10,20,TRUE,TRUE,0.738987856813543
"116","HighVar1.5","1732766380",10,20,TRUE,TRUE,0.61052879578631
"117","HighVar1","1732766380",10,20,TRUE,TRUE,0.632398829595534
"118","NullModel","1732766380",10,20,TRUE,TRUE,0.755370407323317
"119","HighVar0.3","1732766381",10,20,TRUE,TRUE,0.557965170877983
"120","HighVar0.5","1732766381",10,20,TRUE,TRUE,0.594800363051485
"121","HighVar0.8","1732766381",10,20,TRUE,TRUE,0.493185944377737
"122","HighVar1.5","1732766381",10,20,TRUE,TRUE,0.577986350575046
"123","HighVar1","1732766381",10,20,TRUE,TRUE,0.522570740632509
"124","NullModel","1732766381",10,20,TRUE,TRUE,0.599467856675433
"125","HighVar0.3","1732766398",10,20,TRUE,TRUE,0.855206054156237
"126","HighVar0.5","1732766398",10,20,TRUE,TRUE,0.847383381546639
"127","HighVar0.8","1732766398",10,20,TRUE,TRUE,0.88542770381365
"128","HighVar1.5","1732766398",10,20,TRUE,TRUE,0.544720530957434
"129","HighVar1","1732766398",10,20,TRUE,TRUE,0.805911046812858
"130","NullModel","1732766398",10,20,TRUE,TRUE,0.839066370887654
"131","HighVar0.3","1732766404",10,20,TRUE,TRUE,0.777997099771525
"132","HighVar0.3","1732766406",10,20,TRUE,TRUE,0.777451105083395
"133","HighVar0.5","1732766406",10,20,TRUE,TRUE,0.699840985610364
"134","HighVar0.8","1732766406",10,20,TRUE,TRUE,0.679501336816028
"135","HighVar1","1732766406",10,20,TRUE,TRUE,0.689008661310193
"136","HighVar0.8","1732766424",10,20,TRUE,TRUE,0.696776148584349
"137","HighVar1.5","1732766424",10,20,TRUE,TRUE,0.678722863744745
"138","HighVar0.8","1732766433",10,20,TRUE,TRUE,0.666426143047906
"139","HighVar1.5","1732766433",10,20,TRUE,TRUE,0.608625822465939
"140","HighVar1","1732766433",10,20,TRUE,TRUE,0.660351841318603
"141","NullModel","1732766433",10,20,TRUE,TRUE,0.678157155676768
"142","HighVar0.3","1732766447",10,20,TRUE,TRUE,0.668745943987178
"143","HighVar0.5","1732766447",10,20,TRUE,TRUE,0.657169584231666
"144","HighVar0.8","1732766447",10,20,TRUE,TRUE,0.715953338119296
"145","HighVar1.5","1732766447",10,20,TRUE,TRUE,0.653465670116495
"146","HighVar1","1732766447",10,20,TRUE,TRUE,0.687430892448161
"147","NullModel","1732766447",10,20,TRUE,TRUE,0.651737848257342
"148","HighVar0.3","1732766472",10,20,TRUE,TRUE,0.717396025090701
"149","HighVar0.5","1732766472",10,20,TRUE,TRUE,0.700043798682205
"150","HighVar0.8","1732766472",10,20,TRUE,TRUE,0.684754402709236
"151","HighVar1.5","1732766472",10,20,TRUE,TRUE,0.614928288582279
"152","HighVar1","1732766472",10,20,TRUE,TRUE,0.681335900667946
"153","NullModel","1732766472",10,20,TRUE,TRUE,0.744553045043857
"154","HighVar0.3","1732766476",10,20,TRUE,TRUE,0.6811945241415
"155","HighVar0.5","1732766476",10,20,TRUE,TRUE,0.578548708540325
"156","HighVar0.8","1732766476",10,20,TRUE,TRUE,0.564550334910628
"157","HighVar1.5","1732766476",10,20,TRUE,TRUE,0.678792809287144
"158","HighVar1","1732766476",10,20,TRUE,TRUE,0.67721164644262
"159","NullModel","1732766476",10,20,TRUE,TRUE,0.686088281649221
"160","HighVar0.3","1732766479",10,20,TRUE,TRUE,0.657003344454998
"161","HighVar0.5","1732766479",10,20,TRUE,TRUE,0.840773979328475
"162","HighVar0.8","1732766479",10,20,TRUE,TRUE,0.649602831551938
"163","HighVar1.5","1732766479",10,20,TRUE,TRUE,0.649959351952446
