"Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6","Topic_7","Topic_8"
"FCER1A","IGHV3-7","IGHV3-74","HBA2","IGKV1-5","VTCN1","TPSB2","CLEC14A"
"PLD4","IGKV4-1","IGHV1-2","HBB","IGKV3-20","ANXA3","CD69","PLVAP"
"FOLR2","IGHA1","IGLV2-8","HBA1","IGKV2-30","KRT15","TRBV30","CDH5"
"GPR34","IGHV3-15","IGLV2-14","IGKV3-11","SCGB2A2","MGST1","GZMM","SOX18"
"IL1B","IGHA2","IGLV1-40","IGLV3-25","IGKV1-9","MAOB","TRAV5","MCAM"
"CLEC10A","IGHV5-51","IGLV2-11","IGLV3-21","IGKV1-27","TACSTD2","IL7R","KDR"
"FCN1","IGKV1-39","IGLV1-44","IGKV3-15","IGHV4-34","WFDC2","PPP1R16B","MMRN2"
"STAB1","IGKV1D-8","IGHV3-30","IGHV1-3","IGKV1-6","PERP","TRAV23DV6","ADGRF5"
"LY86","JCHAIN","IGLV1-47","IGKV3D-11","SCGB1D2","KRT7","TRAV1-2","VWF"
"C5AR1","IGHV3-49","IGLV3-19","IGHV1-46","IGLV7-46","EFHD1","GZMA","ADGRL4"
"CPVL","IGLV1-51","IGLV6-57","IGLV3-1","IGHV3-21","TPD52L1","TRAV4","COL4A2"
"HLA-DRA","IGLV2-23","IGHA1","IGKV1-16","APOD","PEG10","TRBV3-1","PTPRB"
"RNASE1","IGHV6-1","IGLC2","IGLV3-10","MUCL1","DEFB1","RIPOR2","AQP1"
"HLA-DQB1","IGKV2D-28","JCHAIN","IGHV3-48","IGKC","TM4SF1","THEMIS","ESAM"
"MPEG1","IGHV4-59","IGHA2","IGHA1","IGHG2","SFN","TRAV8-2","CD34"
"CSF1R","IGKC","IGLL5","IGHV4-39","IGHV3-64D","MAL2","TRAV12-1","SLCO2A1"
"HLA-DQA1","IGHV3-23","IGLC3","IGHV3-11","IGKV3D-20","PRLR","TRAV27","CXorf36"
"HLA-DPB1","IGKV1D-39","IGHV4-55","IGHV3-33","SCGB3A1","PLPP2","MAL","TIE1"
"LGALS2","IGHV2-5","IGHV4-31","IGHV3-72","IGKV1-17","BAMBI","TRBV10-3","COL4A1"
"MS4A6A","MZB1","IGHV3-53","JCHAIN","IGHV1-18","PDZK1IP1","LINC00861","CLDN5"
"SPI1","IGHV1-24","IGHV4-28","IGHV3-15","MZB1","EPCAM","KLRB1","CCL19"
"CXCL8","DERL3","AC233755.1","IGLC3","JCHAIN","NQO1","TRBV6-2","CALCRL"
"SDS","IGLV4-69","IGHV3-15","IGKV2-24","SCGB2A1","PHGDH","TESPA1","COL15A1"
"RNASE6","IGHV4-4","IGHV3-66","IGLV3-9","IGKV1-8","MYO6","GRAP2","HIGD1B"
"HLA-DPA1","IGHG2","IGHV4-61","MZB1","IGHV5-10-1","CRACR2B","SCML4","TFPI"
"TREM2","IGHV3-33","MZB1","IGHA2","IGHG4","BCAM","TRAV26-1","IGFBP7"
"TYROBP","IGKV1-12","DERL3","IGHV1-24","IGHG1","MGP","CD5","GJA4"
"MSR1","IGHG4","IGHV1-18","AC233755.2","IGHV4-61","KRT5","TRAV13-1","APLNR"
"OLR1","IGLC2","IGHG2","IGKC","AC233755.1","CLDN3","TRAV12-3","ANGPT2"
"HLA-DRB1","IGHG1","IGHV3-33","IGLC2","DERL3","CLDN4","CD40LG","ID1"
"MS4A4A","POU2AF1","IGHV2-5","DERL3","IGHV4-59","TFAP2A","CAMK4","SOX17"
"IL18","IGHG3","IGHV4-59","IGHG2","POU2AF1","SPDEF","TRBV19","COX4I2"
"SLCO2B1","FKBP11","POU2AF1","IGHV1-69","IGHG3","CLDN7","STAT4","IL33"
"HLA-DMB","IGLC3","IGHG1","IGKV1D-16","S100A9","MAPT","CD96","PGF"
"ADAP2","IGHM","IGHM","IGKV3D-20","IGHM","SPINT2","GIMAP7","GNG11"
"SGK1","IGHV1-69D","IGHG4","IGHV3-20","S100A8","MARCKSL1","KLRD1","NOTCH4"
"CD74","IGHV3-13","FKBP11","IGHG4","IGHV3-43","CRABP2","TRBV14","CSRP2"
"MARCH1","CD79A","IGHG3","IGHM","FKBP11","DHCR24","ARHGAP15","LDB2"
"IGSF6","TENT5C","CD79A","POU2AF1","SERHL2","ADIRF","GZMH","EMCN"
"CD14","SEC11C","SEC11C","IGHV1-69D","RAMP3","DEGS2","TXK","CYYR1"
"CCL3L1","PIM2","HERPUD1","IGHG1","SEC11C","KRT18","ITK","SPARCL1"
"MNDA","IRF4","SSR4","IGHV1-18","TENT5C","ELF3","TRAT1","FLT1"
"HCK","HERPUD1","IRF4","FKBP11","CD79A","PTPRF","CD3E","RAMP2"
"AIF1","IGHV4-55","PIM2","IGHG3","PIM2","HIST1H4H","LCK","C1QTNF1"
"LST1","SSR4","TENT5C","IGLL5","SSR4","FXYD3","RGL4","HSPG2"
"PILRA","ITM2C","IGHV3-20","CD79A","HPGD","SORBS2","PRKCH","ACKR1"
"CD68","ZBP1","ITM2C","SEC11C","CYP4Z1","IRX3","CCR6","CAV1"
"FCGR2A","PRDX4","ZBP1","HERPUD1","HERPUD1","KRT8","TRAV13-2","LHFPL6"
"NPL","XBP1","AC233755.2","TENT5C","IRF4","CLU","CST7","PLAC9"
"SLC11A1","RHEX","PRDX4","SSR4","IGKV1-12","SPINT1","SAMD3","C7"
