"","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq"
"1","1730495655","scSTM",5,20,FALSE,FALSE,1
"2","1730495655","scSTM",5,20,FALSE,FALSE,1
"3","1730495655","scSTM",5,20,FALSE,FALSE,1
"4","1730495655","scSTM",5,20,FALSE,FALSE,1
"5","1730495655","scSTM",5,20,FALSE,FALSE,1
"6","NullModel","1730495655",5,20,FALSE,FALSE,1
"7","1730495767","scSTM",5,20,FALSE,FALSE,1
"8","1730495767","scSTM",5,20,FALSE,FALSE,1
"9","1730495767","scSTM",5,20,FALSE,FALSE,1
"10","1730495767","scSTM",5,20,FALSE,FALSE,1
"11","1730495767","scSTM",5,20,FALSE,FALSE,1
"12","NullModel","1730495767",5,20,FALSE,FALSE,1
"13","1730495919","scSTM",5,20,FALSE,FALSE,1
"14","1730495919","scSTM",5,20,FALSE,FALSE,1
"15","1730495919","scSTM",5,20,FALSE,FALSE,1
"16","1730495919","scSTM",5,20,FALSE,FALSE,1
"17","1730495919","scSTM",5,20,FALSE,FALSE,1
"18","NullModel","1730495919",5,20,FALSE,FALSE,1
"19","1730495936","scSTM",5,20,FALSE,FALSE,1
"20","1730495936","scSTM",5,20,FALSE,FALSE,1
"21","1730495936","scSTM",5,20,FALSE,FALSE,1
"22","1730495936","scSTM",5,20,FALSE,FALSE,1
"23","1730495936","scSTM",5,20,FALSE,FALSE,1
"24","NullModel","1730495936",5,20,FALSE,FALSE,1
"25","1730495949","scSTM",5,20,FALSE,FALSE,1
"26","1730495949","scSTM",5,20,FALSE,FALSE,1
"27","1730495949","scSTM",5,20,FALSE,FALSE,1
"28","1730495949","scSTM",5,20,FALSE,FALSE,1
"29","1730495949","scSTM",5,20,FALSE,FALSE,1
"30","NullModel","1730495949",5,20,FALSE,FALSE,1
"31","1730495954","scSTM",5,20,FALSE,FALSE,1
"32","1730495954","scSTM",5,20,FALSE,FALSE,1
"33","1730495954","scSTM",5,20,FALSE,FALSE,1
"34","1730495954","scSTM",5,20,FALSE,FALSE,1
"35","1730495954","scSTM",5,20,FALSE,FALSE,1
"36","NullModel","1730495954",5,20,FALSE,FALSE,1
"37","1730496332","scSTM",5,20,FALSE,FALSE,1
"38","1730496332","scSTM",5,20,FALSE,FALSE,1
"39","1730496332","scSTM",5,20,FALSE,FALSE,1
"40","1730496332","scSTM",5,20,FALSE,FALSE,1
"41","1730496332","scSTM",5,20,FALSE,FALSE,1
"42","NullModel","1730496332",5,20,FALSE,FALSE,1
"43","1730496458","scSTM",5,20,FALSE,FALSE,1
"44","1730496458","scSTM",5,20,FALSE,FALSE,1
"45","1730496458","scSTM",5,20,FALSE,FALSE,1
"46","1730496458","scSTM",5,20,FALSE,FALSE,1
"47","1730496458","scSTM",5,20,FALSE,FALSE,1
"48","NullModel","1730496458",5,20,FALSE,FALSE,1
"49","1730496542","scSTM",5,20,FALSE,FALSE,1
"50","1730496542","scSTM",5,20,FALSE,FALSE,1
"51","1730496542","scSTM",5,20,FALSE,FALSE,1
"52","1730496542","scSTM",5,20,FALSE,FALSE,1
"53","1730496542","scSTM",5,20,FALSE,FALSE,1
"54","NullModel","1730496542",5,20,FALSE,FALSE,1
"55","1730496617","scSTM",5,20,FALSE,FALSE,1
"56","1730496617","scSTM",5,20,FALSE,FALSE,1
"57","1730496617","scSTM",5,20,FALSE,FALSE,1
"58","1730496617","scSTM",5,20,FALSE,FALSE,1
"59","1730496617","scSTM",5,20,FALSE,FALSE,1
"60","NullModel","1730496617",5,20,FALSE,FALSE,1
"61","1730496626","scSTM",5,20,FALSE,FALSE,1
"62","1730496626","scSTM",5,20,FALSE,FALSE,1
"63","1730496626","scSTM",5,20,FALSE,FALSE,1
"64","1730496626","scSTM",5,20,FALSE,FALSE,1
"65","1730496626","scSTM",5,20,FALSE,FALSE,1
"66","NullModel","1730496626",5,20,FALSE,FALSE,1
"67","1730496639","scSTM",5,20,FALSE,FALSE,1
"68","1730496639","scSTM",5,20,FALSE,FALSE,1
"69","1730496639","scSTM",5,20,FALSE,FALSE,1
"70","1730496639","scSTM",5,20,FALSE,FALSE,1
"71","1730496639","scSTM",5,20,FALSE,FALSE,1
"72","NullModel","1730496639",5,20,FALSE,FALSE,1
"73","1730496677","scSTM",5,20,FALSE,FALSE,1
"74","1730496677","scSTM",5,20,FALSE,FALSE,1
"75","1730496677","scSTM",5,20,FALSE,FALSE,1
"76","1730496677","scSTM",5,20,FALSE,FALSE,1
"77","1730496677","scSTM",5,20,FALSE,FALSE,1
"78","NullModel","1730496677",5,20,FALSE,FALSE,1
"79","1730496686","scSTM",5,20,FALSE,FALSE,1
"80","1730496686","scSTM",5,20,FALSE,FALSE,1
"81","1730496686","scSTM",5,20,FALSE,FALSE,1
"82","1730496686","scSTM",5,20,FALSE,FALSE,1
"83","1730496686","scSTM",5,20,FALSE,FALSE,1
"84","NullModel","1730496686",5,20,FALSE,FALSE,1
"85","1730496706","scSTM",5,20,FALSE,FALSE,1
"86","1730496706","scSTM",5,20,FALSE,FALSE,1
"87","1730496706","scSTM",5,20,FALSE,FALSE,1
"88","1730496706","scSTM",5,20,FALSE,FALSE,1
"89","1730496706","scSTM",5,20,FALSE,FALSE,1
"90","NullModel","1730496706",5,20,FALSE,FALSE,1
"91","1730497055","scSTM",5,20,FALSE,FALSE,1
"92","1730497055","scSTM",5,20,FALSE,FALSE,1
"93","1730497055","scSTM",5,20,FALSE,FALSE,1
"94","1730497055","scSTM",5,20,FALSE,FALSE,1
"95","1730497055","scSTM",5,20,FALSE,FALSE,1
"96","NullModel","1730497055",5,20,FALSE,FALSE,1
"97","1730497093","scSTM",5,20,FALSE,FALSE,1
"98","1730497093","scSTM",5,20,FALSE,FALSE,1
"99","1730497093","scSTM",5,20,FALSE,FALSE,1
"100","1730497093","scSTM",5,20,FALSE,FALSE,1
"101","NullModel","1730498180",5,20,FALSE,FALSE,1
"102","NullModel","1730498188",5,20,FALSE,FALSE,1
"103","NullModel","1730498190",5,20,FALSE,FALSE,1
"104","NullModel","1730498225",5,20,FALSE,FALSE,1
"105","NullModel","1730498383",5,20,FALSE,FALSE,1
"106","NullModel","1730498445",5,20,FALSE,FALSE,1
"107","NullModel","1730498459",5,20,FALSE,FALSE,1
"108","NullModel","1730498468",5,20,FALSE,FALSE,1
"109","NullModel","1730498500",5,20,FALSE,FALSE,1
"110","NullModel","1730498508",5,20,FALSE,FALSE,1
"111","NullModel","1730498517",5,20,FALSE,FALSE,1
"112","NullModel","1730498520",5,20,FALSE,FALSE,1
"113","NullModel","1730498527",5,20,FALSE,FALSE,1
"114","NullModel","1730498530",5,20,FALSE,FALSE,1
"115","NullModel","1730498536",5,20,FALSE,FALSE,1
"116","NullModel","1730498544",5,20,FALSE,FALSE,1
"117","NullModel","1730498595",5,20,FALSE,FALSE,1
"118","NullModel","1730498603",5,20,FALSE,FALSE,1
"119","NullModel","1730498622",5,20,FALSE,FALSE,1
"120","NullModel","1730498623",5,20,FALSE,FALSE,1
"121","NullModel","1730498633",5,20,FALSE,FALSE,1
"122","NullModel","1730498667",5,20,FALSE,FALSE,1
"123","NullModel","1730498760",5,20,FALSE,FALSE,1
"124","NullModel","1730498797",5,20,FALSE,FALSE,1
"125","NullModel","1730498799",5,20,FALSE,FALSE,1
"126","NullModel","1730498830",5,20,FALSE,FALSE,1
"127","NullModel","1730498840",5,20,FALSE,FALSE,1
"128","NullModel","1730498843",5,20,FALSE,FALSE,1
"129","NullModel","1730498848",5,20,FALSE,FALSE,1
"130","NullModel","1730498931",5,20,FALSE,FALSE,1
"131","NullModel","1730498990",5,20,FALSE,FALSE,1
"132","NullModel","1730499004",5,20,FALSE,FALSE,1
"133","NullModel","1730499005",5,20,FALSE,FALSE,1
"134","NullModel","1730499008",5,20,FALSE,FALSE,1
"135","NullModel","1730499022",5,20,FALSE,FALSE,1
"136","NullModel","1730499033",5,20,FALSE,FALSE,1
"137","NullModel","1730499068",5,20,FALSE,FALSE,1
"138","NullModel","1730499069",5,20,FALSE,FALSE,1
"139","NullModel","1730499071",5,20,FALSE,FALSE,1
"140","NullModel","1730499077",5,20,FALSE,FALSE,1
"141","NullModel","1730499083",5,20,FALSE,FALSE,1
"142","NullModel","1730499137",5,20,FALSE,FALSE,1
"143","NullModel","1730499142",5,20,FALSE,FALSE,1
"144","NullModel","1730499159",5,20,FALSE,FALSE,1
"145","NullModel","1730499160",5,20,FALSE,FALSE,1
"146","NullModel","1730499172",5,20,FALSE,FALSE,1
"147","NullModel","1730499177",5,20,FALSE,FALSE,1
"148","NullModel","1730499191",5,20,FALSE,FALSE,1
"149","NullModel","1730499240",5,20,FALSE,FALSE,1
"150","NullModel","1730499317",5,20,FALSE,FALSE,1
"151","NullModel","1730499319",5,20,FALSE,FALSE,1
"152","NullModel","1730499361",5,20,FALSE,FALSE,1
"153","NullModel","1730499369",5,20,FALSE,FALSE,1
"154","NullModel","1730499373",5,20,FALSE,FALSE,1
"155","NullModel","1730499398",5,20,FALSE,FALSE,1
"156","NullModel","1730499401",5,20,FALSE,FALSE,1
"157","NullModel","1730499420",5,20,FALSE,FALSE,1
"158","NullModel","1730499448",5,20,FALSE,FALSE,1
"159","NullModel","1730499477",5,20,FALSE,FALSE,1
"160","NullModel","1730499522",5,20,FALSE,FALSE,1
"161","NullModel","1730499532",5,20,FALSE,FALSE,1
"162","NullModel","1730499626",5,20,FALSE,FALSE,1
"163","NullModel","1730499654",5,20,FALSE,FALSE,1
"164","NullModel","1730499657",5,20,FALSE,FALSE,1
"165","NullModel","1730499747",5,20,FALSE,FALSE,1
"166","NullModel","1730499784",5,20,FALSE,FALSE,1
"167","NullModel","1730499809",5,20,FALSE,FALSE,1
"168","NullModel","1730499820",5,20,FALSE,FALSE,1
"169","NullModel","1730499855",5,20,FALSE,FALSE,1
"170","NullModel","1730499859",5,20,FALSE,FALSE,1
"171","NullModel","1730499885",5,20,FALSE,FALSE,1
"172","NullModel","1730499906",5,20,FALSE,FALSE,1
"173","NullModel","1730499927",5,20,FALSE,FALSE,1
"174","NullModel","1730499935",5,20,FALSE,FALSE,1
"175","NullModel","1730499949",5,20,FALSE,FALSE,1
"176","NullModel","1730499984",5,20,FALSE,FALSE,1
