"","sim","seed","effectSize","scSTM_noContent_Sample_cluster","scSTM_Content_Sample_cluster","fastTopics_cluster","seurat_cluster","sctransform_cluster","monocle3_cluster"
"1","1726187269_effectSize0.1","1726187269","effectSize0.1",0.619452559624635,0.701127682444398,0.661279427448938,0.879639175699399,0.880412533388644,0.879639175699399
"2","1726187269_effectSize0.4","1726187269","effectSize0.4",0.624189390052074,0.89534432127809,0.63950645484695,0.867475875387682,0.867475875387682,0.866044693972426
"3","1726187269_effectSize0.7","1726187269","effectSize0.7",0.617084792383459,0.687055554726782,0.361928164741103,0.857767513881928,0.857767513881928,0.858087782020647
"4","1726187269_effectSize1","1726187269","effectSize1",0.600116298829702,0.689755149935452,0.35074687311828,0.847469270630643,0.848575171816285,0.846931596692128
"5","1726187276_effectSize0.1","1726187276","effectSize0.1",0.978266385980914,1,0.971610411357966,0.983658204479204,0.983658204479204,0.983750551567349
"6","1726187277_effectSize0.1","1726187277","effectSize0.1",0.852811756638243,0.893844025105739,0.797893289515125,0.906709542926518,0.906709542926518,0.907355434950425
"7","1726187277_effectSize0.4","1726187277","effectSize0.4",0.817608179619235,0.761079132635785,0.75426719125237,0.877596861193638,0.877596861193638,0.878472554300786
"8","1726187277_effectSize0.7","1726187277","effectSize0.7",0.796954708187551,0.741575790990147,0.720792143535776,0.853538841716967,0.853538841716967,0.854593643459766
"9","1726187277_effectSize1","1726187277","effectSize1",0.77053746248207,0.719656304439378,0.682879247819108,0.825261165012341,0.825261165012341,0.826490212941402
"10","1726187300_effectSize0.1","1726187300","effectSize0.1",0.604181578798669,0.692383468450935,0.418133728316352,0.873170304804865,0.873170304804865,0.870698326020423
"11","1726187300_effectSize0.4","1726187300","effectSize0.4",0.641664345691415,0.792372354267417,0.40092582104695,0.858568377388353,0.858568377388353,0.855902717252546
"12","1726187300_effectSize0.7","1726187300","effectSize0.7",0.634758687561249,0.676637325437074,0.384982772225896,0.847790857279467,0.847790857279467,0.844681956401134
"13","1726187300_effectSize1","1726187300","effectSize1",0.546216480832809,0.608351386807713,0.371897275169607,0.834937646982371,0.834937646982371,0.831881246423226
"14","1726187317_effectSize0.1","1726187317","effectSize0.1",0.583116844555291,0.640173867908675,0.57344880852946,0.823275524077411,0.823275524077411,0.823275524077411
"15","1726187317_effectSize0.4","1726187317","effectSize0.4",0.519000932430681,0.671246388219372,0.388010959473772,0.799894494573292,0.799894494573292,0.799894494573292
"16","1726187317_effectSize0.7","1726187317","effectSize0.7",0.40406872197107,0.612500766073544,0.401165574920646,0.765735697787898,0.765735697787898,0.765735697787898
"17","1726187317_effectSize1","1726187317","effectSize1",0.383419452799014,0.722261861233441,0.380818084857539,0.736018881589568,0.736018881589568,0.736018881589568
"18","1726187324_effectSize0.1","1726187324","effectSize0.1",0.94728376827567,0.913891667228365,0.535780326171589,0.95522155587643,0.95522155587643,0.95522155587643
"19","1726187324_effectSize0.4","1726187324","effectSize0.4",0.938786010633425,0.908891952655738,0.533543183914105,0.943932370980788,0.943932370980788,0.943932370980788
"20","1726187324_effectSize0.7","1726187324","effectSize0.7",0.925890087253158,0.901987756933786,0.532604342760424,0.929684079125828,0.929684079125828,0.929684079125828
"21","1726187324_effectSize1","1726187324","effectSize1",0.914716393387403,0.895498140558042,0.526436478302747,0.916942287846694,0.916942287846694,0.916942287846694
"22","1726187327_effectSize0.1","1726187327","effectSize0.1",0.742016552655203,0.810380146371775,0.727575052835006,0.91186069363701,0.91186069363701,0.91186069363701
"23","1726187327_effectSize0.4","1726187327","effectSize0.4",0.722518684744178,0.4480423289682,0.707517723785234,0.898605012944744,0.898605012944744,0.898605012944744
"24","1726187327_effectSize0.7","1726187327","effectSize0.7",0.698093732582286,0.76557176937956,0.683625496315995,0.882898255313861,0.882898255313861,0.882898255313861
"25","1726187327_effectSize1","1726187327","effectSize1",0.684363514085143,0.614724179608368,0.666917158271712,0.870208880910071,0.870208880910071,0.870208880910071
"26","1726187341_effectSize0.1","1726187341","effectSize0.1",0.932266863590964,0.953971633987087,0.934421220450761,0.982635970237435,0.982635970237435,0.982635970237435
"27","1726187341_effectSize0.4","1726187341","effectSize0.4",0.921658880022433,0.932509106876523,0.900928230391571,0.979416147888575,0.979416147888575,0.979416147888575
"28","1726187341_effectSize0.7","1726187341","effectSize0.7",0.911418109143883,0.931230084101312,0.913412637079138,0.974600561499432,0.974600561499432,0.974600561499432
"29","1726187341_effectSize1","1726187341","effectSize1",0.901725295124316,0.768287774328099,0.875308560417243,0.968366693613739,0.968366693613739,0.968366693613739
"30","1726187387_effectSize0.1","1726187387","effectSize0.1",0.898533223485789,0.999716566188363,0.610475732181461,0.925609624961949,0.925609624961949,0.925609624961949
"31","1726187387_effectSize0.4","1726187387","effectSize0.4",0.88450070502216,0.898043660922345,0.598325029965746,0.913814356150523,0.913814356150523,0.913814356150523
"32","1726187387_effectSize0.7","1726187387","effectSize0.7",0.875606177526938,0.887625194597372,0.721902331786131,0.900286541730919,0.900286541730919,0.900286541730919
"33","1726187387_effectSize1","1726187387","effectSize1",0.867217517155471,0.874192100091686,0.753949843818906,0.886957962189406,0.886957962189406,0.886957962189406
"34","1726187441_effectSize0.1","1726187441","effectSize0.1",0.66353549431442,0.530574317869797,0.649338354846186,0.904228094514583,0.904228094514583,0.905189579265682
"35","1726187441_effectSize0.4","1726187441","effectSize0.4",0.628552094939738,0.533348476923553,0.610892511748793,0.882740112565508,0.882740112565508,0.881187781834435
"36","1726187441_effectSize0.7","1726187441","effectSize0.7",0.384990967755617,0.52598013918323,0.382165116491271,0.858458178741233,0.858458178741233,0.857478111619447
"37","1726187441_effectSize1","1726187441","effectSize1",0.391484509011224,0.577677456378966,0.383862510901851,0.835821836890638,0.835845721400194,0.831571498166709
