"","sim","seed","effectSize","scSTM_pooled_cluster","scSTM_LR_cluster"
"1","1727239575_NullModel","1727239575","NullModel",1,1
"2","1727239636_NullModel","1727239636","NullModel",1,1
"3","1727239641_NullModel","1727239641","NullModel",1,1
"4","1727239645_NullModel","1727239645","NullModel",1,1
"5","1727239658_NullModel","1727239658","NullModel",1,1
"6","1727239669_NullModel","1727239669","NullModel",1,1
"7","1727239670_NullModel","1727239670","NullModel",1,1
"8","1727239680_NullModel","1727239680","NullModel",1,1
"9","1727239686_NullModel","1727239686","NullModel",1,1
"10","1727239687_NullModel","1727239687","NullModel",1,1
"11","1727239690_NullModel","1727239690","NullModel",1,1
"12","1727239696_NullModel","1727239696","NullModel",NA,1
"13","1727239704_NullModel","1727239704","NullModel",1,1
"14","1727239707_NullModel","1727239707","NullModel",1,1
"15","1727239708_NullModel","1727239708","NullModel",1,1
"16","1727239709_NullModel","1727239709","NullModel",1,1
"17","1727239723_NullModel","1727239723","NullModel",1,1
"18","1727239725_NullModel","1727239725","NullModel",1,1
"19","1727239731_NullModel","1727239731","NullModel",1,1
"20","1727239738_NullModel","1727239738","NullModel",1,1
"21","1727239740_NullModel","1727239740","NullModel",1,1
"22","1727239745_NullModel","1727239745","NullModel",1,1
"23","1727239748_NullModel","1727239748","NullModel",1,1
"24","1727239751_NullModel","1727239751","NullModel",1,1
"25","1727239753_NullModel","1727239753","NullModel",1,1
"26","1727239754_NullModel","1727239754","NullModel",1,1
"27","1727239759_NullModel","1727239759","NullModel",1,1
"28","1727239768_NullModel","1727239768","NullModel",1,1
"29","1727239771_NullModel","1727239771","NullModel",1,1
"30","1727239773_NullModel","1727239773","NullModel",1,1
"31","1727239774_NullModel","1727239774","NullModel",1,1
"32","1727239808_NullModel","1727239808","NullModel",1,1
"33","1727239814_NullModel","1727239814","NullModel",1,1
"34","1727239815_NullModel","1727239815","NullModel",1,1
"35","1727239816_NullModel","1727239816","NullModel",1,1
"36","1727239831_NullModel","1727239831","NullModel",1,1
"37","1727239833_NullModel","1727239833","NullModel",NA,1
"38","1727239839_NullModel","1727239839","NullModel",NA,1
"39","1727239857_NullModel","1727239857","NullModel",NA,1
"40","1727239861_NullModel","1727239861","NullModel",NA,1
"41","1727239862_NullModel","1727239862","NullModel",NA,1
"42","1727239868_NullModel","1727239868","NullModel",NA,1
"43","1727239900_NullModel","1727239900","NullModel",NA,1
"44","1727239928_NullModel","1727239928","NullModel",NA,1
"45","1727239938_NullModel","1727239938","NullModel",NA,1
"46","1727239942_NullModel","1727239942","NullModel",NA,1
"47","1727239962_NullModel","1727239962","NullModel",NA,1
"48","1727240050_NullModel","1727240050","NullModel",NA,1
"49","1727240094_NullModel","1727240094","NullModel",NA,1
