"","modelType","seed","nCellType","nSample","Batch","CancerType","ARI"
"1","HighVar0.1","1732162017",10,20,TRUE,TRUE,0.843261188645993
"2","HighVar0.16","1732162017",10,20,TRUE,TRUE,0.707657007714198
"3","HighVar0.23","1732162017",10,20,TRUE,TRUE,0.741548521723233
"4","HighVar0.3","1732162017",10,20,TRUE,TRUE,0.713262040814763
"5","HighVar0.4","1732162017",10,20,TRUE,TRUE,0.721655595516418
"6","NullModel","1732162017",10,20,TRUE,TRUE,0.748249399209462
"7","HighVar0.1","1732162021",10,20,TRUE,TRUE,0.924439158914427
"8","HighVar0.16","1732162021",10,20,TRUE,TRUE,0.892881770682781
"9","HighVar0.23","1732162021",10,20,TRUE,TRUE,0.894313494920104
"10","HighVar0.3","1732162021",10,20,TRUE,TRUE,0.888398503379597
"11","HighVar0.4","1732162021",10,20,TRUE,TRUE,0.946910995271763
"12","NullModel","1732162021",10,20,TRUE,TRUE,0.900759418270256
"13","HighVar0.1","1732162023",10,20,TRUE,TRUE,0.67076702171131
"14","HighVar0.16","1732162023",10,20,TRUE,TRUE,0.682927275582934
"15","HighVar0.23","1732162023",10,20,TRUE,TRUE,0.680530962950918
"16","HighVar0.3","1732162023",10,20,TRUE,TRUE,0.701796040326545
"17","HighVar0.4","1732162023",10,20,TRUE,TRUE,0.555279231177893
"18","NullModel","1732162023",10,20,TRUE,TRUE,0.677646301570121
"19","HighVar0.1","1732162024",10,20,TRUE,TRUE,0.849115348595509
"20","HighVar0.16","1732162024",10,20,TRUE,TRUE,0.909908277703107
"21","HighVar0.23","1732162024",10,20,TRUE,TRUE,0.863292436287415
"22","HighVar0.3","1732162024",10,20,TRUE,TRUE,0.860109623443641
"23","HighVar0.4","1732162024",10,20,TRUE,TRUE,0.803167313402141
"24","NullModel","1732162024",10,20,TRUE,TRUE,0.900495695390689
"25","HighVar0.1","1732162027",10,20,TRUE,TRUE,0.563682027051845
"26","HighVar0.16","1732162027",10,20,TRUE,TRUE,0.560287351875224
"27","HighVar0.23","1732162027",10,20,TRUE,TRUE,0.542233833597039
"28","HighVar0.3","1732162027",10,20,TRUE,TRUE,0.612144161502166
"29","HighVar0.4","1732162027",10,20,TRUE,TRUE,0.541785470290542
"30","NullModel","1732162027",10,20,TRUE,TRUE,0.589684856015081
"31","HighVar0.1","1732162038",10,20,TRUE,TRUE,0.783185634385361
"32","HighVar0.16","1732162038",10,20,TRUE,TRUE,0.817121268588162
"33","HighVar0.23","1732162038",10,20,TRUE,TRUE,0.82742555529584
"34","HighVar0.3","1732162038",10,20,TRUE,TRUE,0.798635320778339
"35","HighVar0.4","1732162038",10,20,TRUE,TRUE,0.797076323448764
"36","NullModel","1732162038",10,20,TRUE,TRUE,0.794128859533655
"37","HighVar0.1","1732162042",10,20,TRUE,TRUE,0.763901301541794
"38","HighVar0.16","1732162042",10,20,TRUE,TRUE,0.76484442844287
"39","HighVar0.23","1732162042",10,20,TRUE,TRUE,0.776426561631209
"40","HighVar0.3","1732162042",10,20,TRUE,TRUE,0.787295998320787
"41","HighVar0.4","1732162042",10,20,TRUE,TRUE,0.739099694954551
"42","NullModel","1732162042",10,20,TRUE,TRUE,0.85042908570198
"43","HighVar0.1","1732162045",10,20,TRUE,TRUE,0.764647948170116
"44","HighVar0.16","1732162045",10,20,TRUE,TRUE,0.758447439674002
"45","HighVar0.23","1732162045",10,20,TRUE,TRUE,0.776623300584986
"46","HighVar0.3","1732162045",10,20,TRUE,TRUE,0.738209120561305
"47","HighVar0.4","1732162045",10,20,TRUE,TRUE,0.73810391133371
"48","NullModel","1732162045",10,20,TRUE,TRUE,0.756192531340596
"49","HighVar0.1","1732165685",10,20,TRUE,TRUE,0.660684522993499
"50","HighVar0.23","1732165685",10,20,TRUE,TRUE,0.755663056909291
"51","HighVar0.4","1732165685",10,20,TRUE,TRUE,0.628776455904277
"52","NullModel","1732165685",10,20,TRUE,TRUE,0.6952165047211
"53","HighVar0.23","1732165687",10,20,TRUE,TRUE,0.622140198880395
"54","HighVar0.3","1732165687",10,20,TRUE,TRUE,0.609723899314438
"55","HighVar0.1","1732165690",10,20,TRUE,TRUE,0.616551000271146
"56","HighVar0.16","1732165690",10,20,TRUE,TRUE,0.627383667411334
"57","HighVar0.4","1732165690",10,20,TRUE,TRUE,0.672720126499832
"58","NullModel","1732165690",10,20,TRUE,TRUE,0.703436289445315
"59","HighVar0.23","1732165702",10,20,TRUE,TRUE,0.685226662250344
"60","HighVar0.3","1732165702",10,20,TRUE,TRUE,0.701788138147642
"61","HighVar0.1","1732165706",10,20,TRUE,TRUE,0.653279829753126
"62","HighVar0.16","1732165706",10,20,TRUE,TRUE,0.724474654520871
"63","HighVar0.3","1732165706",10,20,TRUE,TRUE,0.69136174971786
"64","NullModel","1732165706",10,20,TRUE,TRUE,0.680818700039519
"65","HighVar0.16","1732165713",10,20,TRUE,TRUE,0.665464855331332
"66","HighVar0.3","1732165713",10,20,TRUE,TRUE,0.636925613973348
"67","NullModel","1732165713",10,20,TRUE,TRUE,0.645584525908617
"68","HighVar0.16","1732165720",10,20,TRUE,TRUE,0.679226593750663
"69","HighVar0.3","1732165720",10,20,TRUE,TRUE,0.715917781111403
"70","NullModel","1732165720",10,20,TRUE,TRUE,0.689280269253983
"71","HighVar0.1","1732165732",10,20,TRUE,TRUE,0.701694491259575
"72","HighVar0.16","1732165732",10,20,TRUE,TRUE,0.673956018343587
"73","HighVar0.23","1732165732",10,20,TRUE,TRUE,0.789836639766692
"74","HighVar0.4","1732165732",10,20,TRUE,TRUE,0.72781608313585
"75","NullModel","1732165732",10,20,TRUE,TRUE,0.6315920671212
"76","HighVar0.23","1732165733",10,20,TRUE,TRUE,0.588822893099595
"77","HighVar0.3","1732165733",10,20,TRUE,TRUE,0.659162555039953
"78","HighVar0.16","1732165737",10,20,TRUE,TRUE,0.684610061615331
"79","HighVar0.23","1732165737",10,20,TRUE,TRUE,0.696940675540777
"80","HighVar0.4","1732165737",10,20,TRUE,TRUE,0.594572023958584
"81","HighVar0.16","1732165738",10,20,TRUE,TRUE,0.820698778819524
"82","HighVar0.23","1732165738",10,20,TRUE,TRUE,0.887311804037086
"83","HighVar0.3","1732165738",10,20,TRUE,TRUE,0.876500570787772
"84","HighVar0.23","1732165742",10,20,TRUE,TRUE,0.750137578530101
"85","HighVar0.3","1732165742",10,20,TRUE,TRUE,0.771482850694614
"86","HighVar0.4","1732165742",10,20,TRUE,TRUE,0.749610366149861
"87","HighVar0.1","1732165744",10,20,TRUE,TRUE,0.744857196141511
"88","HighVar0.23","1732165744",10,20,TRUE,TRUE,0.688953214583332
"89","HighVar0.3","1732165744",10,20,TRUE,TRUE,0.664868837494124
"90","HighVar0.23","1732165745",10,20,TRUE,TRUE,0.639315524803629
"91","HighVar0.4","1732165745",10,20,TRUE,TRUE,0.66288778678546
"92","HighVar0.1","1732165762",10,20,TRUE,TRUE,0.749156047240292
"93","HighVar0.16","1732165762",10,20,TRUE,TRUE,0.623588465581086
"94","HighVar0.23","1732165762",10,20,TRUE,TRUE,0.664453083000263
"95","HighVar0.3","1732165762",10,20,TRUE,TRUE,0.660859472399363
"96","NullModel","1732165762",10,20,TRUE,TRUE,0.600012198861718
"97","HighVar0.1","1732165764",10,20,TRUE,TRUE,0.768739853304957
"98","HighVar0.3","1732165764",10,20,TRUE,TRUE,0.788639987573571
"99","NullModel","1732165764",10,20,TRUE,TRUE,0.768961236393513
"100","HighVar0.1","1732165770",10,20,TRUE,TRUE,0.685834717097644
"101","HighVar0.16","1732165770",10,20,TRUE,TRUE,0.6814314787459
"102","HighVar0.23","1732165770",10,20,TRUE,TRUE,0.735052392847723
"103","HighVar0.3","1732165770",10,20,TRUE,TRUE,0.758250406807088
"104","HighVar0.4","1732165770",10,20,TRUE,TRUE,0.807042134572827
"105","NullModel","1732165770",10,20,TRUE,TRUE,0.765092817158822
"106","HighVar0.1","1732165796",10,20,TRUE,TRUE,0.728204080470993
"107","HighVar0.16","1732165796",10,20,TRUE,TRUE,0.709638595069165
"108","HighVar0.23","1732165796",10,20,TRUE,TRUE,0.676093831816619
"109","HighVar0.3","1732165796",10,20,TRUE,TRUE,0.671386631482331
"110","HighVar0.4","1732165796",10,20,TRUE,TRUE,0.66402462178714
"111","NullModel","1732165796",10,20,TRUE,TRUE,0.686654382026361
"112","HighVar0.1","1732165808",10,20,TRUE,TRUE,0.830199517491448
"113","HighVar0.16","1732165808",10,20,TRUE,TRUE,0.836582620218572
