"","scSTMType","modelType","seed","nCellType","nSample","Batch","CancerType","Num_iter","Num_init","max_llh","llh5","llh10","llh15","llh30","llh50","pooled_scSTMseq"
"1","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,10,15,-766330640.99301,-767799506.806906,-767108185.104971,-766847966.567664,-766533312.085872,-766391015.965843,0.852234691320735
"2","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,10,15,-807761636.359895,-808858543.217775,-808465370.692199,-808294411.155777,-808055416.447417,-807881669.026113,0.951916967720962
"3","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,10,15,-820130785.557316,-821123772.158796,-820774800.816914,-820614060.808166,-820419844.631027,-820276179.221725,0.944584336234329
"4","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,10,15,-719804216.541209,-720858074.978377,-720324196.511498,-720169039.852856,-720007654.496898,-719891828.747254,0.95450156660933
"5","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,10,15,-778659441.00734,-780513963.639561,-779639425.058317,-779307611.96422,-778913052.60734,-778737695.532872,0.945320869915995
"6","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763246",10,10,TRUE,TRUE,10,15,-822734771.53867,-823805854.133397,-823082849.608154,-822902717.736117,-822774743.25182,NA,0.982759382538141
"7","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763250",10,10,TRUE,TRUE,10,15,-696217345.268389,-697356040.384747,-696901816.530175,-696713036.923013,-696494912.631319,-696332981.572796,0.87778617847033
"8","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763254",10,10,TRUE,TRUE,10,15,-825778867.967998,-827186839.600402,-826411793.432548,-826158034.781083,-825857910.378795,-825781394.001618,0.95725303812667
"9","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763256",10,10,TRUE,TRUE,10,15,-750127304.386837,-751174687.465821,-750841849.588014,-750650201.446506,-750374658.465338,-750229102.337031,0.918292162096373
"10","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763269",10,10,TRUE,TRUE,10,15,-814769756.622301,-816099277.636286,-815526614.094496,-815326954.063469,-815064084.463704,-814919050.923168,0.899534441375981
"11","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763284",10,10,TRUE,TRUE,10,15,-703606890.8116,-705157185.987701,-704182187.69871,-703932459.184736,-703684458.73809,NA,0.860385703596319
"12","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763287",10,10,TRUE,TRUE,10,15,-790500653.177171,-792107980.687297,-791727772.203748,-791511003.194849,-791180063.92,-790919596.092842,0.878646206055026
"13","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763297",10,10,TRUE,TRUE,10,15,-748742077.442936,-749819748.538471,-749396948.31166,-749255916.482187,-749080925.084235,-748911932.409902,0.900739352551703
"14","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763305",10,10,TRUE,TRUE,10,15,-798969364.667729,-800107828.971641,-799705437.344342,-799487270.144495,-799203304.247047,-799035594.200054,0.965359771803217
"15","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763313",10,10,TRUE,TRUE,10,15,-722228574.053277,-723417934.171681,-722562634.875766,-722348121.201568,-722261253.847842,NA,0.975534179566207
"16","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763316",10,10,TRUE,TRUE,10,15,-789401734.511483,-790908495.727964,-790324031.174778,-790041538.618533,-789648673.950501,-789452828.065789,0.885233803966063
"17","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763321",10,10,TRUE,TRUE,10,15,-720641337.366956,-721632129.796404,-721249272.043217,-721094025.941154,-720871082.690362,-720717526.223715,0.818242116193886
"18","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763336",10,10,TRUE,TRUE,10,15,-767321650.123561,-768386674.755684,-767951787.362643,-767770306.237566,-767499377.192641,-767362452.414157,0.984606578216859
"19","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763365",10,10,TRUE,TRUE,10,15,-723722287.656265,-724412370.955299,-724184329.947705,-724050322.25331,-723855111.077053,-723755123.274261,0.951833997825262
"20","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763381",10,10,TRUE,TRUE,10,15,-806050116.190851,-807942661.371103,-806776587.59401,-806427197.747404,-806159681.589989,-806059717.416055,0.756822225056762
"21","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763219",10,10,TRUE,TRUE,10,5,-766334819.633974,-767799300.862315,-767107994.586812,-766847863.799815,-766533882.781181,-766391876.943985,0.851800376490531
"22","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763223",10,10,TRUE,TRUE,10,5,-807772527.950563,-808869022.199295,-808466992.588165,-808266196.706836,-808039048.107573,-807918825.37362,0.957172565511551
"23","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763228",10,10,TRUE,TRUE,10,5,-820130696.082321,-821122454.71263,-820774651.532087,-820614493.886365,-820419537.144559,-820274991.839325,0.944721917432327
"24","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763236",10,10,TRUE,TRUE,10,5,-719888889.966731,-721508145.501143,-720578769.821754,-720266992.971855,-719997961.278445,-719921787.377999,0.939215276313008
"25","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763244",10,10,TRUE,TRUE,10,5,-778624388.728697,-780494840.655152,-780043345.69848,-779783895.780583,-779297455.223931,-778925219.34357,0.840247907358144
"26","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763246",10,10,TRUE,TRUE,10,5,-822734771.53867,-823805854.133397,-823082849.608154,-822902717.736117,-822774743.25182,NA,0.982759382538141
"27","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763250",10,10,TRUE,TRUE,10,5,-696129254.682599,-698410426.05032,-697164004.241673,-696658331.812443,-696217315.949403,-696129254.682599,0.953654828173292
"28","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763254",10,10,TRUE,TRUE,10,5,-825778867.967998,-827186839.600402,-826411793.432548,-826158034.781083,-825857910.378795,-825781394.001618,0.95725303812667
"29","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763256",10,10,TRUE,TRUE,10,5,-750127478.161606,-751174194.334317,-750842175.011391,-750650669.6439,-750375999.662367,-750229888.545783,0.918292162096373
"30","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763269",10,10,TRUE,TRUE,10,5,-814625591.500398,-817181389.089036,-815869133.028366,-815394147.151965,-814880515.33622,-814695516.33805,0.887415383824445
"31","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763284",10,10,TRUE,TRUE,10,5,-703606890.8116,-705157185.987701,-704182187.69871,-703932459.184736,-703684458.73809,NA,0.860385703596319
"32","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763287",10,10,TRUE,TRUE,10,5,-790504641.175322,-792109140.043904,-791728307.443021,-791511929.656129,-791185939.644637,-790925093.901458,0.878078938128536
"33","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763297",10,10,TRUE,TRUE,10,5,-748761693.677121,-750550135.197029,-749554846.950571,-749184998.907699,-748867308.475121,-748776245.36115,0.917371300504579
"34","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763305",10,10,TRUE,TRUE,10,5,-798953810.935358,-800110838.576248,-799708659.968553,-799490180.770586,-799203940.804151,-799037101.030565,0.964986091734351
"35","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763313",10,10,TRUE,TRUE,10,5,-722228574.053277,-723417934.171681,-722562634.875766,-722348121.201568,-722261253.847842,NA,0.975534179566207
"36","scSTM_Sensitivity_Pooled_Content_Prevalence_Time","NullModel","1740763316",10,10,TRUE,TRUE,10,5,-789402788.426894,-790908003.226495,-790326134.506834,-790044353.153716,-789652023.861055,-789454542.779542,0.884902496159091
