"","modelType","seed","nCellType","nSample","Batch","CancerType","pooled_scSTMseq","lm_scSTMseq"
"1","NullModel","1729994584",10,20,FALSE,FALSE,1,1
"2","1729995208","scSTM",10,20,FALSE,FALSE,1,NA
"3","1729995208","scSTM",10,20,FALSE,FALSE,1,NA
"4","1729995208","scSTM",10,20,FALSE,FALSE,1,NA
"5","HighVar1","1729995208",10,20,FALSE,FALSE,1,1
"6","NullModel","1729995208",10,20,FALSE,FALSE,1,1
"7","1729998617","scSTM",10,20,FALSE,FALSE,1,NA
"8","1729998617","scSTM",10,20,FALSE,FALSE,1,NA
"9","1729998617","scSTM",10,20,FALSE,FALSE,1,NA
"10","HighVar1","1729998617",10,20,FALSE,FALSE,1,1
"11","NullModel","1729998617",10,20,FALSE,FALSE,1,1
"12","1729998622","scSTM",10,20,FALSE,FALSE,1,NA
"13","1729998622","scSTM",10,20,FALSE,FALSE,1,NA
"14","1729998622","scSTM",10,20,FALSE,FALSE,1,NA
"15","HighVar1","1729998622",10,20,FALSE,FALSE,1,1
"16","NullModel","1729998622",10,20,FALSE,FALSE,1,1
"17","1729998632","scSTM",10,20,FALSE,FALSE,1,NA
"18","1729998632","scSTM",10,20,FALSE,FALSE,1,NA
"19","1729998632","scSTM",10,20,FALSE,FALSE,1,NA
"20","HighVar1","1729998632",10,20,FALSE,FALSE,1,1
"21","NullModel","1729998632",10,20,FALSE,FALSE,1,1
"22","1729998637","scSTM",10,20,FALSE,FALSE,1,NA
"23","1729998637","scSTM",10,20,FALSE,FALSE,1,NA
"24","1729998637","scSTM",10,20,FALSE,FALSE,1,NA
"25","HighVar1","1729998637",10,20,FALSE,FALSE,1,1
"26","NullModel","1729998637",10,20,FALSE,FALSE,1,1
"27","1729998647","scSTM",10,20,FALSE,FALSE,1,NA
"28","1729998647","scSTM",10,20,FALSE,FALSE,1,NA
"29","1729998647","scSTM",10,20,FALSE,FALSE,1,NA
"30","HighVar1","1729998647",10,20,FALSE,FALSE,1,1
"31","NullModel","1729998647",10,20,FALSE,FALSE,1,1
"32","1729998651","scSTM",10,20,FALSE,FALSE,1,NA
"33","1729998651","scSTM",10,20,FALSE,FALSE,1,NA
"34","1729998651","scSTM",10,20,FALSE,FALSE,1,NA
"35","HighVar1","1729998651",10,20,FALSE,FALSE,1,1
"36","NullModel","1729998651",10,20,FALSE,FALSE,1,1
"37","1729998653","scSTM",10,20,FALSE,FALSE,1,NA
"38","1729998653","scSTM",10,20,FALSE,FALSE,1,NA
"39","1729998653","scSTM",10,20,FALSE,FALSE,1,NA
"40","HighVar1","1729998653",10,20,FALSE,FALSE,1,1
"41","NullModel","1729998653",10,20,FALSE,FALSE,1,1
"42","1729998661","scSTM",10,20,FALSE,FALSE,1,NA
"43","1729998661","scSTM",10,20,FALSE,FALSE,1,NA
"44","1729998661","scSTM",10,20,FALSE,FALSE,1,NA
"45","HighVar1","1729998661",10,20,FALSE,FALSE,1,1
"46","NullModel","1729998661",10,20,FALSE,FALSE,1,1
"47","1729998672","scSTM",10,20,FALSE,FALSE,1,NA
"48","1729998672","scSTM",10,20,FALSE,FALSE,1,NA
"49","1729998672","scSTM",10,20,FALSE,FALSE,1,NA
"50","HighVar1","1729998672",10,20,FALSE,FALSE,1,1
"51","NullModel","1729998672",10,20,FALSE,FALSE,1,1
"52","1729998681","scSTM",10,20,FALSE,FALSE,1,NA
"53","1729998681","scSTM",10,20,FALSE,FALSE,1,NA
"54","1729998681","scSTM",10,20,FALSE,FALSE,1,NA
"55","HighVar1","1729998681",10,20,FALSE,FALSE,1,1
"56","NullModel","1729998681",10,20,FALSE,FALSE,1,1
"57","1729998682","scSTM",10,20,FALSE,FALSE,1,NA
"58","1729998682","scSTM",10,20,FALSE,FALSE,1,NA
"59","1729998682","scSTM",10,20,FALSE,FALSE,1,NA
"60","HighVar1","1729998682",10,20,FALSE,FALSE,1,1
"61","NullModel","1729998682",10,20,FALSE,FALSE,1,1
"62","1729998692","scSTM",10,20,FALSE,FALSE,1,NA
"63","1729998692","scSTM",10,20,FALSE,FALSE,1,NA
"64","1729998692","scSTM",10,20,FALSE,FALSE,1,NA
"65","HighVar1","1729998692",10,20,FALSE,FALSE,1,1
"66","NullModel","1729998692",10,20,FALSE,FALSE,1,1
"67","1729998694","scSTM",10,20,FALSE,FALSE,1,NA
"68","1729998694","scSTM",10,20,FALSE,FALSE,1,NA
"69","1729998694","scSTM",10,20,FALSE,FALSE,1,NA
"70","HighVar1","1729998694",10,20,FALSE,FALSE,1,1
"71","NullModel","1729998694",10,20,FALSE,FALSE,1,1
"72","1729998695","scSTM",10,20,FALSE,FALSE,1,NA
"73","1729998695","scSTM",10,20,FALSE,FALSE,1,NA
"74","1729998695","scSTM",10,20,FALSE,FALSE,1,NA
"75","HighVar1","1729998695",10,20,FALSE,FALSE,1,1
"76","NullModel","1729998695",10,20,FALSE,FALSE,1,1
"77","1729998708","scSTM",10,20,FALSE,FALSE,1,NA
"78","1729998708","scSTM",10,20,FALSE,FALSE,1,NA
"79","1729998708","scSTM",10,20,FALSE,FALSE,1,NA
"80","HighVar1","1729998708",10,20,FALSE,FALSE,1,1
