"","sim","seed","effectSize","scSTM_pooled_cluster","scSTM_L1_cluster","scSTM_LR_cluster","fastTopics_cluster","seurat_cluster","sctransform_cluster","monocle3_cluster"
"1","1726448367_effectSize0.1","1726448367","effectSize0.1",0.859659622120011,0.858655742833755,NA,NA,0.590343555215482,0.185971425296324,0.500507867363374
"2","1726448367_effectSize0.4","1726448367","effectSize0.4",0.884973115354521,NA,NA,NA,0.56811685665565,0.183195466532472,0.471457636564659
"3","1726448367_effectSize0.7","1726448367","effectSize0.7",0.868400208768859,NA,NA,NA,0.563448532445691,0.181558889542252,0.484550579853752
"4","1726448367_effectSize1","1726448367","effectSize1",0.864257996299831,NA,NA,NA,0.554701375210823,0.180352430930464,0.464245993299362
"5","1726448374_effectSize0.1","1726448374","effectSize0.1",0.868655824333033,NA,NA,NA,0.430773450906993,0.174854542687186,0.465087049830709
"6","1726448374_effectSize0.4","1726448374","effectSize0.4",0.857058747743216,NA,NA,NA,0.445301545902884,0.171070070719254,0.458281557493466
"7","1726448374_effectSize0.7","1726448374","effectSize0.7",0.843086607801236,NA,NA,NA,0.412483112419375,0.168883723358007,0.457797384882485
"8","1726448374_effectSize1","1726448374","effectSize1",0.880671943256792,NA,NA,NA,0.48263759538948,0.166766200226067,0.482917456776774
"9","1726448386_effectSize0.1","1726448386","effectSize0.1",0.907470469025723,NA,NA,NA,0.492990395584246,0.184040628435945,0.471828036388503
"10","1726448386_effectSize0.4","1726448386","effectSize0.4",0.889615959463371,NA,NA,NA,0.515626087032408,0.180461327356792,0.445770706976039
"11","1726448386_effectSize0.7","1726448386","effectSize0.7",0.896327055609826,NA,NA,NA,0.515977169616776,0.178644374909549,0.434800831223016
"12","1726448386_effectSize1","1726448386","effectSize1",0.865523518457515,NA,NA,NA,0.47592683269355,0.178374019065287,0.444266999269809
"13","1726448391_effectSize0.1","1726448391","effectSize0.1",0.876628087019355,NA,NA,NA,0.490245962832827,0.177572159694984,0.489931847775986
"14","1726448391_effectSize0.4","1726448391","effectSize0.4",0.827877365758557,NA,NA,NA,0.47465916013732,0.173910403880568,0.46263618232635
"15","1726448391_effectSize0.7","1726448391","effectSize0.7",0.812439879435312,NA,NA,NA,0.476530154975881,0.170346031212281,0.469874843918876
"16","1726448391_effectSize1","1726448391","effectSize1",0.789399883055304,NA,NA,NA,0.445593868459188,0.168767859588576,0.465058553682897
"17","1726448394_effectSize0.1","1726448394","effectSize0.1",0.813786979688308,NA,NA,0.817791701239441,0.444933777467763,0.183632986808065,0.348860069319921
"18","1726448394_effectSize0.4","1726448394","effectSize0.4",0.785067081158059,NA,NA,0.799303269886795,0.405787638770844,0.178092950270376,0.360045345901139
"19","1726448394_effectSize0.7","1726448394","effectSize0.7",0.761099707172912,NA,NA,0.783383958217431,0.382212455614745,0.17564362992976,0.353338294949611
"20","1726448394_effectSize1","1726448394","effectSize1",NA,NA,NA,0.770135672048281,0.422734792232764,0.171983644308269,0.359540510501237
"21","1726448405_effectSize0.1","1726448405","effectSize0.1",0.837636892274839,NA,NA,NA,0.44399382705672,0.160390295776004,0.483610570637482
"22","1726448405_effectSize0.4","1726448405","effectSize0.4",0.836133984812015,NA,NA,0.850968181077432,0.426821928747259,0.155898232567719,0.46241624245708
"23","1726448405_effectSize0.7","1726448405","effectSize0.7",0.831477096537421,NA,NA,NA,0.401482757015951,0.153418749097909,0.450920695585755
"24","1726448405_effectSize1","1726448405","effectSize1",0.810731292928946,NA,NA,NA,0.398561098130833,0.151529093341404,0.447856237621994
"25","1726448430_effectSize0.1","1726448430","effectSize0.1",0.915336958447106,NA,NA,NA,0.507353693486319,0.168257038438621,0.416069757806281
"26","1726448430_effectSize0.4","1726448430","effectSize0.4",0.919388871044707,NA,NA,NA,0.51390488493774,0.166057393922156,0.392384547070636
"27","1726448430_effectSize0.7","1726448430","effectSize0.7",0.916947801177855,NA,NA,NA,0.513182226970957,0.164464927445494,0.45938897973441
"28","1726448430_effectSize1","1726448430","effectSize1",0.912494917238017,NA,NA,NA,0.514009253632037,0.163375410754122,0.456637638782933
"29","1726450220_effectSize0.1","1726450220","effectSize0.1",0.914323655069922,NA,NA,NA,0.60674676358251,0.174115089013181,0.599617963862532
"30","1726450220_effectSize0.4","1726450220","effectSize0.4",0.90445337471904,NA,NA,NA,0.600648103226234,0.172752148476367,0.597071300936376
"31","1726450220_effectSize0.7","1726450220","effectSize0.7",0.964284047594246,NA,NA,0.91396668232773,0.595399041028421,0.170715761351235,0.5934373099853
"32","1726450220_effectSize1","1726450220","effectSize1",0.877268281491777,NA,NA,NA,0.589543155719554,0.169560543954006,0.589822080762636
"33","1726450914_effectSize0.1","1726450914","effectSize0.1",0.866463835393188,NA,NA,NA,0.478779394322715,0.166657599181574,0.500716642336142
"34","1726450914_effectSize0.4","1726450914","effectSize0.4",0.866379484707981,NA,NA,NA,0.464238496842032,0.165791542565181,0.494694233586476
"35","1726450914_effectSize0.7","1726450914","effectSize0.7",0.89902674431216,NA,NA,NA,0.506608215597743,0.164988956713199,0.505587586215092
"36","1726450914_effectSize1","1726450914","effectSize1",0.904204600313565,NA,NA,NA,0.469017125320625,0.164046543859815,0.560041194809699
"37","1726451200_effectSize0.1","1726451200","effectSize0.1",0.912057658265298,NA,NA,NA,0.291452178930246,0.165294880374996,0.523413427565162
"38","1726451200_effectSize0.4","1726451200","effectSize0.4",NA,NA,NA,NA,0.310039225630711,0.163535041896885,0.498445550105663
"39","1726451200_effectSize0.7","1726451200","effectSize0.7",NA,NA,NA,NA,0.315264946328947,0.161983652550131,0.490224946411474
"40","1726451200_effectSize1","1726451200","effectSize1",NA,NA,NA,NA,0.337739631296518,0.162223217650535,0.502218127577578
