"","sim","seed","effectSize","scSTM_pooled_cluster","scSTM_L1_cluster","scSTM_LR_cluster","fastTopics_cluster","seurat_cluster","sctransform_cluster","monocle3_cluster"
"1","1726189900_effectSize0.1","1726189900","effectSize0.1",1,1,1,1,1,1,1
"2","1726189900_effectSize0.4","1726189900","effectSize0.4",1,1,1,1,1,1,1
"3","1726189900_effectSize0.7","1726189900","effectSize0.7",1,1,1,1,1,1,1
"4","1726189900_effectSize1","1726189900","effectSize1",1,1,1,1,1,1,1
"5","1726189914_effectSize0.1","1726189914","effectSize0.1",1,1,NA,1,1,1,1
"6","1726189914_effectSize0.4","1726189914","effectSize0.4",1,1,NA,1,1,1,1
"7","1726189914_effectSize0.7","1726189914","effectSize0.7",1,1,NA,1,1,1,1
"8","1726189914_effectSize1","1726189914","effectSize1",1,1,NA,1,1,1,1
"9","1726189917_effectSize0.1","1726189917","effectSize0.1",1,1,NA,1,1,1,1
"10","1726189917_effectSize0.4","1726189917","effectSize0.4",1,1,NA,1,1,1,1
"11","1726189917_effectSize0.7","1726189917","effectSize0.7",1,1,NA,1,1,1,1
"12","1726189917_effectSize1","1726189917","effectSize1",1,1,NA,1,1,1,1
"13","1726189923_effectSize0.1","1726189923","effectSize0.1",1,1,NA,1,1,1,1
"14","1726189923_effectSize0.4","1726189923","effectSize0.4",1,1,NA,1,1,1,1
"15","1726189923_effectSize0.7","1726189923","effectSize0.7",1,1,NA,1,1,1,1
"16","1726189923_effectSize1","1726189923","effectSize1",1,1,NA,1,1,1,1
"17","1726189937_effectSize0.1","1726189937","effectSize0.1",1,1,NA,1,1,1,1
"18","1726189937_effectSize0.4","1726189937","effectSize0.4",1,1,NA,1,1,1,1
"19","1726189937_effectSize0.7","1726189937","effectSize0.7",1,1,NA,1,1,1,1
"20","1726189937_effectSize1","1726189937","effectSize1",1,1,NA,1,1,1,1
"21","1726189945_effectSize0.1","1726189945","effectSize0.1",1,1,NA,1,1,1,1
"22","1726189945_effectSize0.4","1726189945","effectSize0.4",1,1,NA,1,1,1,1
"23","1726189945_effectSize0.7","1726189945","effectSize0.7",1,1,NA,1,1,1,1
"24","1726189945_effectSize1","1726189945","effectSize1",1,1,NA,1,1,1,1
"25","1726189956_effectSize0.1","1726189956","effectSize0.1",1,1,NA,1,1,1,1
"26","1726189956_effectSize0.4","1726189956","effectSize0.4",1,1,NA,1,1,1,1
"27","1726189956_effectSize0.7","1726189956","effectSize0.7",1,1,NA,1,1,1,1
"28","1726189956_effectSize1","1726189956","effectSize1",1,1,NA,1,1,1,1
"29","1726190035_effectSize0.1","1726190035","effectSize0.1",1,1,NA,1,1,1,1
"30","1726190035_effectSize0.4","1726190035","effectSize0.4",1,1,NA,1,1,1,1
"31","1726190035_effectSize0.7","1726190035","effectSize0.7",1,1,NA,1,1,1,1
"32","1726190035_effectSize1","1726190035","effectSize1",1,1,NA,1,1,1,1
"33","1726190048_effectSize0.1","1726190048","effectSize0.1",1,1,NA,1,1,1,1
"34","1726190048_effectSize0.4","1726190048","effectSize0.4",1,1,NA,1,1,1,1
"35","1726190048_effectSize0.7","1726190048","effectSize0.7",1,1,NA,1,1,1,1
"36","1726190048_effectSize1","1726190048","effectSize1",1,1,NA,1,1,1,1
